Source,...2,BLUPs_RF,E1_RF,E2_RF,E4_RF,E5_RF
GP502-correlation- 32 - RF,BLUPs,0.316997206,0.31918999,0.252369454,0.284568353,0.152647771
GP502-correlation- 33 - RF,BLUPs,0.509066272,0.38785216,0.405203706,0.260157804,0.265552195
GP502-correlation- 34 - RF,BLUPs,0.110266322,0.482693312,0.124769173,0.063903554,-0.130951054
GP502-correlation- 35 - RF,BLUPs,0.388702708,0.511406252,0.318631391,-0.008163411,0.170425627
GP502-correlation- 36 - RF,BLUPs,0.435510722,0.382747152,0.006777308,0.290510153,0.35042426
GP502-correlation- 37 - RF,BLUPs,0.388948585,0.453675309,0.217324775,0.143934757,0.196949469
GP502-correlation- 38 - RF,BLUPs,0.40171489,0.272139199,0.284296709,0.165764817,0.316701805
GP502-correlation- 39 - RF,BLUPs,0.499891131,0.423153809,0.444597965,0.273871665,0.281556388
GP502-correlation- 40 - RF,BLUPs,0.670687615,0.360545566,0.403273952,0.286435147,0.420019895
GP502-correlation- 41 - RF,BLUPs,0.257145303,0.41194022,0.124601503,0.213418926,0.101185272
GP502-correlation- 42 - RF,BLUPs,0.274318339,0.360734221,0.162328558,0.050686811,0.277833049
GP502-correlation- 43 - RF,BLUPs,0.340424305,0.61178512,0.52388905,-0.037210175,-0.124635563
GP502-correlation- 44 - RF,BLUPs,0.128364505,0.352277045,0.214708785,0.169461462,-0.116421583
GP502-correlation- 45 - RF,BLUPs,0.30792717,0.328264586,0.24433,0.021865129,0.297881217
GP502-correlation- 46 - RF,BLUPs,0.455132098,0.403685212,0.379939703,0.017620275,0.324660181
GP502-correlation- 47 - RF,BLUPs,0.301095366,0.40304847,0.165269894,0.176655575,0.262368525
GP502-correlation- 48 - RF,BLUPs,0.5301573,0.371259707,0.46794253,0.25025432,0.068388237
GP502-correlation- 49 - RF,BLUPs,0.311137327,0.116662837,0.150049859,0.03067334,0.491760909
GP502-correlation- 50 - RF,BLUPs,0.475888987,0.452969028,0.489038988,0.143033894,0.209099036
